7.000000000000000000e+00,3.203400000000000000e+04,3.201470000000000073e+04,7.728069999999999773e+00,3.201470000000000073e+04,7.728069999999999773e+00
8.000000000000000000e+00,3.260800000000000000e+04,3.258859999999999854e+04,8.098860000000000170e+00,3.258859999999999854e+04,8.098860000000000170e+00
9.000000000000000000e+00,3.241200000000000000e+04,3.239240000000000146e+04,7.955079999999999707e+00,3.239240000000000146e+04,7.955079999999999707e+00
1.000000000000000000e+01,3.269500000000000000e+04,3.267520000000000073e+04,8.509510000000000574e+00,3.267520000000000073e+04,8.509510000000000574e+00
1.100000000000000000e+01,3.174700000000000000e+04,3.172720000000000073e+04,8.962749999999999773e+00,3.172720000000000073e+04,8.962749999999999773e+00
1.200000000000000000e+01,3.253000000000000000e+04,3.251009999999999854e+04,7.464249999999999829e+00,3.251009999999999854e+04,7.464249999999999829e+00
1.300000000000000000e+01,3.233900000000000000e+04,3.231900000000000000e+04,7.318170000000000286e+00,3.231900000000000000e+04,7.318170000000000286e+00
1.400000000000000000e+01,3.220700000000000000e+04,3.218729999999999927e+04,7.838289999999999758e+00,3.218729999999999927e+04,7.838289999999999758e+00
1.500000000000000000e+01,3.268900000000000000e+04,3.266950000000000000e+04,8.669560000000000599e+00,3.266950000000000000e+04,8.669560000000000599e+00
1.600000000000000000e+01,3.258900000000000000e+04,3.256920000000000073e+04,8.472870000000000346e+00,3.256920000000000073e+04,8.472870000000000346e+00
1.700000000000000000e+01,3.278900000000000000e+04,3.276919999999999709e+04,8.120309999999999917e+00,3.276919999999999709e+04,8.120309999999999917e+00
1.800000000000000000e+01,3.244600000000000000e+04,3.242700000000000000e+04,8.422499999999999432e+00,3.242700000000000000e+04,8.422499999999999432e+00
1.900000000000000000e+01,3.214400000000000000e+04,3.212490000000000146e+04,7.769169999999999909e+00,3.212490000000000146e+04,7.769169999999999909e+00
2.000000000000000000e+01,3.214400000000000000e+04,3.212490000000000146e+04,8.085269999999999513e+00,3.212490000000000146e+04,8.085269999999999513e+00
2.100000000000000000e+01,3.236100000000000000e+04,3.234129999999999927e+04,7.994769999999999932e+00,3.234129999999999927e+04,7.994769999999999932e+00
2.200000000000000000e+01,3.194000000000000000e+04,3.192050000000000000e+04,9.489489999999999981e+00,3.192050000000000000e+04,9.489489999999999981e+00
2.300000000000000000e+01,3.259600000000000000e+04,3.257629999999999927e+04,7.871509999999999785e+00,3.257629999999999927e+04,7.871509999999999785e+00
2.400000000000000000e+01,3.223900000000000000e+04,3.221959999999999854e+04,8.126250000000000639e+00,3.221959999999999854e+04,8.126250000000000639e+00
2.500000000000000000e+01,3.204200000000000000e+04,3.202290000000000146e+04,7.891969999999999708e+00,3.202290000000000146e+04,7.891969999999999708e+00
